fecha;R
6/03/2020;2.71
7/03/2020;2.69
8/03/2020;2.68
9/03/2020;2.66
10/03/2020;2.65
11/03/2020;2.63
12/03/2020;2.6
13/03/2020;2.57
14/03/2020;2.54
15/03/2020;2.51
16/03/2020;2.46
17/03/2020;2.41
18/03/2020;2.36
19/03/2020;2.3
20/03/2020;2.22
21/03/2020;2.13
22/03/2020;2.04
23/03/2020;1.95
24/03/2020;1.86
25/03/2020;1.78
26/03/2020;1.69
27/03/2020;1.61
28/03/2020;1.54
29/03/2020;1.47
30/03/2020;1.4
31/03/2020;1.34
1/04/2020;1.3
2/04/2020;1.26
3/04/2020;1.22
4/04/2020;1.18
5/04/2020;1.15
6/04/2020;1.13
7/04/2020;1.11
8/04/2020;1.09
9/04/2020;1.08
10/04/2020;1.09
11/04/2020;1.09
12/04/2020;1.09
13/04/2020;1.09
14/04/2020;1.1
15/04/2020;1.1
16/04/2020;1.1
17/04/2020;1.11
18/04/2020;1.15
19/04/2020;1.17
20/04/2020;1.2
21/04/2020;1.16
22/04/2020;1.14
23/04/2020;1.17
24/04/2020;1.19
25/04/2020;1.22
26/04/2020;1.23
27/04/2020;1.25
28/04/2020;1.26
29/04/2020;1.27
30/04/2020;1.39
1/05/2020;1.49
2/05/2020;1.36
3/05/2020;1.26
4/05/2020;1.31
5/05/2020;1.34
6/05/2020;1.29
7/05/2020;1.17
8/05/2020;1.14
9/05/2020;1.16
10/05/2020;1.25
11/05/2020;1.16
12/05/2020;1.18
13/05/2020;1.19
14/05/2020;1.2
15/05/2020;1.23
16/05/2020;1.12
17/05/2020;1.19
18/05/2020;1.23
19/05/2020;1.24
20/05/2020;1.35
21/05/2020;1.16
22/05/2020;1.11
23/05/2020;0.97
24/05/2020;0.98
25/05/2020;1.08
26/05/2020;1.05
27/05/2020;1.06
28/05/2020;1.14
29/05/2020;1.13
30/05/2020;1.08
31/05/2020;0.95
1/06/2020;1.65
2/06/2020;1.14
3/06/2020;1.14
4/06/2020;1.06
5/06/2020;1.29
6/06/2020;1.16
7/06/2020;0.93
8/06/2020;1.31
9/06/2020;1.22
10/06/2020;1.4
11/06/2020;1.09
12/06/2020;1.17
13/06/2020;1.01
14/06/2020;0.94
15/06/2020;1.16
16/06/2020;1.35
17/06/2020;1.27
18/06/2020;1.28
19/06/2020;1.25
20/06/2020;1.34
21/06/2020;0.86
22/06/2020;1
23/06/2020;1.28
24/06/2020;1.11
25/06/2020;1.25
26/06/2020;1.23
27/06/2020;1.07
28/06/2020;0.98
29/06/2020;0.95
30/06/2020;1.31
1/07/2020;1.56
2/07/2020;1.1
3/07/2020;1.13
4/07/2020;1.06
5/07/2020;1
6/07/2020;1.22
7/07/2020;1.08
8/07/2020;1.11
9/07/2020;1.13
10/07/2020;1.33
11/07/2020;0.94
12/07/2020;0.91
13/07/2020;1.19
14/07/2020;1.11
15/07/2020;1.07
16/07/2020;1.09
17/07/2020;1
18/07/2020;0.89
19/07/2020;0.82
20/07/2020;0.98
21/07/2020;1.01
22/07/2020;1.08
23/07/2020;1.12
24/07/2020;1.44
25/07/2020;1.08
26/07/2020;0.8
27/07/2020;1.16
28/07/2020;0.94
29/07/2020;0.95
30/07/2020;0.8
31/07/2020;0.91
1/08/2020;1.03
2/08/2020;0.78
3/08/2020;0.97
4/08/2020;0.91
5/08/2020;0.9
6/08/2020;0.94
7/08/2020;0.72
8/08/2020;0.85
9/08/2020;0.77
10/08/2020;1.13
11/08/2020;0.78
12/08/2020;0.72
13/08/2020;0.74
14/08/2020;0.91
15/08/2020;0.89
16/08/2020;0.73
17/08/2020;0.85
18/08/2020;1.2
19/08/2020;1.18
20/08/2020;1.12
